feature,unit,z_mean,z_std
White blood cell (leukocyte) count,10^9 cells/L,6.89705462370124,2.122082920970376
Haemoglobin concentration,g/dL,14.170684830171231,1.2441658463375977
Haematocrit percentage,%,41.08415944791354,3.5491299596653807
Mean corpuscular volume,fL,91.04527292310841,4.610757566028427
Platelet count,10^9 cells/L,252.4336743742247,59.9254736777028
C-reactive protein,mg/L,2.600584537376634,4.336129587045985
Glycated haemoglobin (HbA1c),mmol/mol,36.157236881045776,6.812782473206181
Cholesterol,mmol/L,5.690326519735901,1.144455667244888
HDL cholesterol,mmol/L,1.4478126496516073,0.38256681088447125
Triglycerides,mmol/L,1.7509712580531995,1.029193119920923
Creatinine,µmol/L,72.43196849813083,18.84354680650442
Glucose,mmol/L,5.135153834376048,1.246705062589453
Urate,µmol/L,309.62717157983076,80.47802493541701
Cystatin C,mg/L,0.9084045422058717,0.17671908509282008
