feature,display_name,unit,z_mean,z_std
Clinical_LDL_C,Clinical LDL Cholesterol,mmol/L,2.6022528674552157,0.7306424076586483
VLDL_size,Average Diameter for VLDL Particles,nm,38.7029440978189,1.2636171383013917
LDL_size,Average Diameter for LDL Particles,nm,23.92735270222622,0.08899832456519656
HDL_size,Average Diameter for HDL Particles,nm,9.636489987516695,0.20612498032095106
Phosphoglyc,Phosphoglycerides,mmol/L,2.332855934231478,0.4010381815458787
Cholines,Total Cholines,mmol/L,2.6173150413475237,0.4126863112848183
Phosphatidylc,Phosphatidylcholines,mmol/L,2.1382703558597353,0.3784243836325389
Sphingomyelins,Sphingomyelins,mmol/L,0.4589873596427568,0.07181990858098238
ApoB,Apolipoprotein B,g/l,0.8593313342142794,0.2024719000287517
ApoA1,Apolipoprotein A1,g/l,1.4819027361532182,0.24725122485300213
Unsaturation,Degree of Unsaturation,degree,1.3568461066182866,0.08077178499064264
Omega_3,Omega-3 Fatty Acids,mmol/L,0.5406497497479439,0.22363980049682744
Omega_6,Omega-6 Fatty Acids,mmol/L,4.571345163270149,0.6925582015622459
MUFA,Monounsaturated Fatty Acids,mmol/L,2.975630420997163,0.8677502298322222
SFA,Saturated Fatty Acids,mmol/L,4.202294547946609,0.993414183647269
LA,Linoleic Acid,mmol/L,3.5160959153456104,0.6941039461557056
DHA,Docosahexaenoic Acid,mmol/L,0.23946649496836847,0.0844868320642134
Ala,Alanine,mmol/L,0.29948195590997156,0.06304764129750828
Gln,Glutamine,mmol/L,0.5617921880663046,0.0817168155260258
Gly,Glycine,mmol/L,0.17521814386829695,0.0659858940368673
His,Histidine,mmol/L,0.06576294775080187,0.010069227561737832
Ile,Isoleucine,mmol/L,0.052185622724920444,0.018150629887061343
Leu,Leucine,mmol/L,0.10634549959597613,0.028735456337854078
Val,Valine,mmol/L,0.21399459760380532,0.042624762479575626
Phe,Phenylalanine,mmol/L,0.04823114721484201,0.010954159137953149
Tyr,Tyrosine,mmol/L,0.06402223816328088,0.014394156056965103
Glucose,Glucose,mmol/L,3.721474551503948,1.1823670426490662
Lactate,Lactate,mmol/L,4.076228441309913,1.137049035649166
Pyruvate,Pyruvate,mmol/L,0.08398831267553344,0.03426910283105037
Citrate,Citrate,mmol/L,0.06741498859755003,0.012610410031293297
bOHbutyrate,3-Hydroxybutyrate,mmol/L,0.06283685372972107,0.06185379821675515
Acetate,Acetate,mmol/L,0.018404552462417314,0.0359880502389842
Acetoacetate,Acetoacetate,mmol/L,0.013344432797596496,0.01246674609374038
Acetone,Acetone,mmol/L,0.01428768940414066,0.005630946950699665
Creatinine,Creatinine,mmol/L,0.06850990698368695,0.01560669608328657
Albumin,Albumin,g/l,39.754863134819146,3.3248475560779247
GlycA,Glycoprotein Acetyls,mmol/L,0.8239474366497124,0.11951942698408417
XXL_VLDL_P,Concentration of Chylomicrons and Extremely Large VLDL Particles,mmol/L,1.7641849195530145e-06,1.5514042429016914e-06
XXL_VLDL_PL,Phospholipids in Chylomicrons and Extremely Large VLDL,mmol/L,0.03685102761301724,0.03227284937314561
XXL_VLDL_CE,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL,mmol/L,0.03154388990706509,0.024111028831757513
XXL_VLDL_FC,Free Cholesterol in Chylomicrons and Extremely Large VLDL,mmol/L,0.025075449878445722,0.019724223027800875
XXL_VLDL_TG,Triglycerides in Chylomicrons and Extremely Large VLDL,mmol/L,0.13910761664735513,0.13605352312941915
XL_VLDL_P,Concentration of Very Large VLDL Particles,mmol/L,3.658976006144915e-06,2.3908640578821478e-06
XL_VLDL_PL,Phospholipids in Very Large VLDL,mmol/L,0.039954399508251755,0.02713644664679083
XL_VLDL_CE,Cholesteryl Esters in Very Large VLDL,mmol/L,0.030908624155371822,0.015156160957944675
XL_VLDL_FC,Free Cholesterol in Very Large VLDL,mmol/L,0.02421673999014341,0.015031532113044095
XL_VLDL_TG,Triglycerides in Very Large VLDL,mmol/L,0.11668876849516424,0.087752287183534
L_VLDL_P,Concentration of Large VLDL Particles,mmol/L,1.067797574625278e-05,5.899666748803713e-06
L_VLDL_PL,Phospholipids in Large VLDL,mmol/L,0.06944266717944951,0.04169594910335274
L_VLDL_CE,Cholesteryl Esters in Large VLDL,mmol/L,0.052677626608259094,0.024270507360454333
L_VLDL_FC,Free Cholesterol in Large VLDL,mmol/L,0.04820315467779586,0.026342979099516845
L_VLDL_TG,Triglycerides in Large VLDL,mmol/L,0.175230881512161,0.10192555799168966
M_VLDL_P,Concentration of Medium VLDL Particles,mmol/L,3.556907597788033e-05,1.261710910855051e-05
M_VLDL_PL,Phospholipids in Medium VLDL,mmol/L,0.13195515358765447,0.04866238245816371
M_VLDL_CE,Cholesteryl Esters in Medium VLDL,mmol/L,0.09313318992775298,0.03814365870492148
M_VLDL_FC,Free Cholesterol in Medium VLDL,mmol/L,0.08081889723060717,0.029907612992677895
M_VLDL_TG,Triglycerides in Medium VLDL,mmol/L,0.288269659466599,0.12641927773324024
S_VLDL_P,Concentration of Small VLDL Particles,mmol/L,4.039844730487742e-05,1.3480473778653765e-05
S_VLDL_PL,Phospholipids in Small VLDL,mmol/L,0.09969591418164965,0.03075727911587662
S_VLDL_CE,Cholesteryl Esters in Small VLDL,mmol/L,0.09956297833297066,0.033578603283772025
S_VLDL_FC,Free Cholesterol in Small VLDL,mmol/L,0.059983792893709954,0.019106707333999787
S_VLDL_TG,Triglycerides in Small VLDL,mmol/L,0.16516937690318675,0.0653427704655927
XS_VLDL_P,Concentration of Very Small VLDL Particles,mmol/L,5.530262150082091e-05,1.3872880063187292e-05
XS_VLDL_PL,Phospholipids in Very Small VLDL,mmol/L,0.10573801017423463,0.026995255594762773
XS_VLDL_CE,Cholesteryl Esters in Very Small VLDL,mmol/L,0.12697520726984773,0.03541996130090726
XS_VLDL_FC,Free Cholesterol in Very Small VLDL,mmol/L,0.058052278069428725,0.015045585914463337
XS_VLDL_TG,Triglycerides in Very Small VLDL,mmol/L,0.07108576092738164,0.022528327519902455
IDL_P,Concentration of IDL Particles,mmol/L,0.00031052656358417693,7.629106111782585e-05
IDL_PL,Phospholipids in IDL,mmol/L,0.29556822450659775,0.06695532790452897
IDL_CE,Cholesteryl Esters in IDL,mmol/L,0.6275107028360435,0.16053184182870348
IDL_FC,Free Cholesterol in IDL,mmol/L,0.22171655396933657,0.05652707541880174
IDL_TG,Triglycerides in IDL,mmol/L,0.10225053679584442,0.027304881158120183
L_LDL_P,Concentration of Large LDL Particles,mmol/L,0.0007482156428063483,0.00017984738250248047
L_LDL_PL,Phospholipids in Large LDL,mmol/L,0.3639824897992351,0.08246305690638861
L_LDL_CE,Cholesteryl Esters in Large LDL,mmol/L,0.8591154964716893,0.20970995819367313
L_LDL_FC,Free Cholesterol in Large LDL,mmol/L,0.3018293052212698,0.07726891920031478
L_LDL_TG,Triglycerides in Large LDL,mmol/L,0.10003329257990638,0.026615592163881038
M_LDL_P,Concentration of Medium LDL Particles,mmol/L,0.00029809317341429885,7.61151462995582e-05
M_LDL_PL,Phospholipids in Medium LDL,mmol/L,0.16649885467142625,0.042140121824433795
M_LDL_CE,Cholesteryl Esters in Medium LDL,mmol/L,0.3153641693178829,0.08832869068733294
M_LDL_FC,Free Cholesterol in Medium LDL,mmol/L,0.12269665290204886,0.03225879160307969
M_LDL_TG,Triglycerides in Medium LDL,mmol/L,0.03392449275015751,0.01083506305833221
S_LDL_P,Concentration of Small LDL Particles,mmol/L,0.00017161185437108222,3.8018285751676845e-05
S_LDL_PL,Phospholipids in Small LDL,mmol/L,0.09011710674592474,0.01915247328174029
S_LDL_CE,Cholesteryl Esters in Small LDL,mmol/L,0.13414712058681583,0.03353770286164365
S_LDL_FC,Free Cholesterol in Small LDL,mmol/L,0.05055994855305938,0.012666016576921395
S_LDL_TG,Triglycerides in Small LDL,mmol/L,0.01589624689259332,0.006059200775012758
XL_HDL_P,Concentration of Very Large HDL Particles,mmol/L,0.0002295574073208974,9.684312752089328e-05
XL_HDL_PL,Phospholipids in Very Large HDL,mmol/L,0.07644088724622951,0.04546739199421555
XL_HDL_CE,Cholesteryl Esters in Very Large HDL,mmol/L,0.05766991915963626,0.028524309081511462
XL_HDL_FC,Free Cholesterol in Very Large HDL,mmol/L,0.022823270808143083,0.007460730609507443
XL_HDL_TG,Triglycerides in Very Large HDL,mmol/L,0.007249388381206241,0.0028002776710313792
L_HDL_P,Concentration of Large HDL Particles,mmol/L,0.0014140171234041253,0.0007873398152192825
L_HDL_PL,Phospholipids in Large HDL,mmol/L,0.327560727341627,0.15627663777881523
L_HDL_CE,Cholesteryl Esters in Large HDL,mmol/L,0.22996044981204244,0.13478738732493256
L_HDL_FC,Free Cholesterol in Large HDL,mmol/L,0.06751543435455136,0.038524466424186415
L_HDL_TG,Triglycerides in Large HDL,mmol/L,0.03076342207297226,0.01241164404858204
M_HDL_P,Concentration of Medium HDL Particles,mmol/L,0.003973065460466204,0.0009443682728408689
M_HDL_PL,Phospholipids in Medium HDL,mmol/L,0.49951491605507453,0.10200070533019431
M_HDL_CE,Cholesteryl Esters in Medium HDL,mmol/L,0.41953801846322314,0.10103436045967097
M_HDL_FC,Free Cholesterol in Medium HDL,mmol/L,0.09013650553354417,0.02508301814537035
M_HDL_TG,Triglycerides in Medium HDL,mmol/L,0.05536631350047563,0.01974907714817965
S_HDL_P,Concentration of Small HDL Particles,mmol/L,0.00994973111880136,0.0012922637784591295
S_HDL_PL,Phospholipids in Small HDL,mmol/L,0.6787078598178531,0.09366688743734525
S_HDL_CE,Cholesteryl Esters in Small HDL,mmol/L,0.33887012358619784,0.0467366125193264
S_HDL_FC,Free Cholesterol in Small HDL,mmol/L,0.11828032947352446,0.016103836587020276
S_HDL_TG,Triglycerides in Small HDL,mmol/L,0.05426452365580273,0.01861134228674062
